stt,text
1,"Việt Nam là quê hương của Hang Sơn Đoòng, hang động lớn nhất thế giới, rộng đến mức có thể chứa vừa một tòa nhà chọc trời 40 tầng."
2,"Họ Nguyễn là họ phổ biến nhất ở Việt Nam, chiếm khoảng 40% dân số. Đây là điều hiếm thấy ở hầu hết các quốc gia."
3,"Đồng tiền tệ chính thức của Việt Nam là Đồng, viết tắt là VND. Mệnh giá giấy nhỏ nhất còn lưu hành là 500 đồng."
4,"Cà phê trứng là một đặc sản nổi tiếng của Hà Nội, được làm từ lòng đỏ trứng gà đánh bông với đường và cà phê. Vị béo ngậy rất đặc trưng."
5,"Việt Nam là nước xuất khẩu hạt điều lớn nhất thế giới, chiếm hơn một nửa sản lượng toàn cầu. Hạt điều Việt Nam nổi tiếng với chất lượng cao."
6,"Thủ đô của Việt Nam là Hà Nội, nhưng thành phố lớn nhất và đông dân nhất lại là Thành phố Hồ Chí Minh."
7,"Ngôn ngữ Tiếng Việt có sáu thanh điệu, làm cho việc học phát âm trở nên khó khăn đối với người nước ngoài muốn thông thạo."
8,"Món Phở và Bánh mì của Việt Nam đã được đưa vào từ điển Oxford, cho thấy sự phổ biến toàn cầu của ẩm thực Việt."
9,"Áo dài là trang phục truyền thống của phụ nữ Việt Nam, thường được mặc trong các dịp lễ quan trọng, Tết, hoặc tại các trường học."
10,"Trên Quốc kỳ Việt Nam, một ngôi sao vàng nằm giữa nền đỏ, tượng trưng cho sự đoàn kết của các tầng lớp nhân dân trong công cuộc xây dựng đất nước."
11,"Vịnh Hạ Long ở Quảng Ninh được UNESCO công nhận là Di sản Thiên nhiên Thế giới, nổi tiếng với gần 2000 hòn đảo đá vôi lớn nhỏ."
12,"Ở Việt Nam có khoảng 77 triệu xe máy đã được đăng ký. Xe máy là phương tiện giao thông phổ biến và linh hoạt nhất trong đời sống hàng ngày."
13,"Tết Nguyên Đán là lễ hội quan trọng nhất trong năm của người Việt, dựa trên lịch âm và thường diễn ra vào cuối tháng Giêng hoặc đầu tháng Hai."
14,"Múa rối nước là một loại hình nghệ thuật dân gian độc đáo của Việt Nam, được biểu diễn trên mặt nước và điều khiển bằng dây, gậy."
15,"Việt Nam là nước xuất khẩu cà phê lớn thứ hai trên thế giới, chỉ sau Brazil. Cà phê Robusta là loại được trồng phổ biến nhất."
16,"Mặc dù là quốc gia nhiệt đới, nhưng một số vùng núi cao phía Bắc Việt Nam như Sa Pa vẫn có thể có tuyết rơi vào mùa đông."
17,"Đèo Hải Vân là một trong những cung đường ven biển đẹp nhất thế giới, nối liền Đà Nẵng và Huế, với biệt danh là Thiên hạ đệ nhất hùng quan."
18,"Rắn hổ mang có thể dài tới 5.5 mét, khiến nó trở thành loài rắn độc dài nhất trên thế giới hiện nay."
19,"Ở các tỉnh miền Tây Nam Bộ Việt Nam, chợ nổi là một nét văn hóa đặc sắc, nơi người dân trao đổi mua bán hàng hóa ngay trên sông."
20,"Tòa nhà Landmark 81 tại TP. Hồ Chí Minh là một trong những tòa nhà cao nhất Đông Nam Á, thể hiện sự phát triển nhanh chóng của kiến trúc Việt Nam."
21,"Chim ruồi là loài chim duy nhất có thể bay lùi lại, một khả năng đặc biệt giúp chúng lấy mật hoa dễ dàng hơn."
22,"Con người dành khoảng một phần ba cuộc đời để ngủ. Điều này rất quan trọng để cơ thể phục hồi và củng cố trí nhớ."
23,"Tốc độ ánh sáng trong chân không là 299.792.458 mét mỗi giây, không có gì có thể di chuyển nhanh hơn vận tốc này."
24,"Bức tường thành lớn nhất lịch sử là Vạn Lý Trường Thành của Trung Quốc, có chiều dài hơn 21.000 km."
25,"Lưỡi của cá voi xanh có thể nặng bằng một con voi trưởng thành, cho thấy kích thước khổng lồ của loài động vật này."
26,"Bột Talcum được làm từ một loại khoáng chất mềm nhất trên Trái Đất, có thể cạo ra bằng móng tay."
27,"Sao Mộc là hành tinh lớn nhất trong Hệ Mặt Trời, khối lượng của nó lớn hơn tổng khối lượng của tất cả các hành tinh còn lại cộng lại."
28,"Hồ Hoàn Kiếm, hay Hồ Gươm, ở Hà Nội gắn liền với truyền thuyết vua Lê Lợi trả gươm thần cho Rùa Vàng."
29,"Người Việt Nam thường sử dụng họ của mình trước tên riêng, khác với cách gọi của nhiều quốc gia phương Tây."
30,"Cá sấu không thể thè lưỡi ra khỏi miệng, vì lưỡi của chúng gắn liền với đáy khoang miệng."
31,"Môn thể thao phổ biến nhất ở Việt Nam là bóng đá. Các trận đấu của đội tuyển quốc gia luôn thu hút lượng lớn cổ động viên."
32,"Đà Lạt được mệnh danh là thành phố ngàn hoa và là nơi có khí hậu ôn hòa, mát mẻ quanh năm."
33,"Bánh chưng và Bánh tét là hai món ăn truyền thống không thể thiếu trong dịp Tết Nguyên Đán của người Việt."
34,"Hà Nội có 36 phố phường, mỗi phố thường bán một loại mặt hàng đặc trưng như Hàng Bạc, Hàng Mã, Hàng Gai."
35,"Núi Fansipan ở Sa Pa, với độ cao 3.143 mét, được mệnh danh là Nóc nhà Đông Dương."
36,"Việt Nam giáp với ba quốc gia là Trung Quốc ở phía Bắc, Lào và Campuchia ở phía Tây."
37,"Cây tre là biểu tượng của tinh thần bất khuất, dẻo dai và kiên cường của người dân Việt Nam qua nhiều thế kỷ."
38,"Phú Quốc, hòn đảo lớn nhất Việt Nam, nổi tiếng với những bãi biển tuyệt đẹp và nghề nuôi cấy ngọc trai."
39,"Thành phố cổ Hội An là Di sản Văn hóa Thế giới với những ngôi nhà mái ngói rêu phong và đèn lồng rực rỡ."
40,"Lá cờ Việt Nam hiện tại đã được thông qua vào năm 1955, với ngôi sao vàng 5 cánh tượng trưng cho công nhân, nông dân, binh sĩ, trí thức và thanh niên."
41,"Chim cánh cụt hoàng đế có thể lặn sâu tới 565 mét dưới mặt nước và nín thở hơn 20 phút."
42,"Nước nóng đóng băng nhanh hơn nước lạnh, hiện tượng này được gọi là hiệu ứng Mpemba, dù cơ chế chính xác vẫn còn gây tranh cãi."
43,"Thành phố New York từng được đặt tên là New Amsterdam, khi nó là thuộc địa của người Hà Lan."
44,"Mật ong là thực phẩm duy nhất không bao giờ bị hỏng. Người ta đã tìm thấy mật ong còn nguyên vẹn trong các lăng mộ cổ Ai Cập."
45,"Món Bún chả nổi tiếng của Hà Nội đã được cựu Tổng thống Mỹ Barack Obama thưởng thức trong chuyến thăm năm 2016."
46,"Kim tự tháp Giza ở Ai Cập là công trình cổ đại duy nhất còn sót lại trong Bảy Kỳ quan Thế giới cổ đại."
47,"Bản giao hưởng số 5 của Beethoven nổi tiếng với bốn nốt nhạc mở đầu đầy kịch tính: ta-ta-ta-TÙM."
48,"Động vật có vú duy nhất biết bay là dơi. Chúng sử dụng sóng siêu âm để định vị trong không gian tối."
49,"Khoảng 90% dân số thế giới sống ở Bán cầu Bắc, nơi có phần lớn diện tích đất liền của Trái Đất."
50,"Đại dương lớn nhất và sâu nhất trên Trái Đất là Thái Bình Dương, chiếm gần một nửa diện tích mặt nước toàn hành tinh."
51,"Việt Nam có một trong những đường bờ biển dài nhất thế giới, với hơn 3.260 km, chưa kể các đảo lớn nhỏ."
52,"Năm 1975, Sài Gòn chính thức được đổi tên thành Thành phố Hồ Chí Minh, theo tên vị Chủ tịch đầu tiên của nước Việt Nam Dân chủ Cộng hòa."
